Number,Full Name,Google Scholar,Scopus,Subject
383,Баумкетнер Андрій Богданович,18,17,фізика та математика - Biophysics
384,Білий Ростислав Олександрович,18,12,науки про життя - Cell Biology
385,Бодянський Євген Володимирович,18,5,інформатика - Artificial Intelligence
386,Бродин Михайло Семенович,18,7,фізика та математика - Optics & Photonics
387,Вовчак Ольга Дмитрівна,18,-,економіка - Finance
388,Волосовець Олександр Петрович,18,6,медицина - Pediatric Medicine
389,Голосніченко Іван Пантелійович,18,-,суспільні науки - Law
390,Гончарук Олена Владиславівна,18,14,хімія - Nanotechnology
391,Денисов Станіслав Іванович,18,11,фізика та математика - Mathematical Physics
392,Джаган Володимир Миколайович,18,10,фізика та математика - Condensed Matter Physics & Semiconductors
393,Дикань Володимир Леонідович,18,-,економіка - Strategic Management
394,Ємець Алла Іванівна,18,12,науки про життя - Cell Biology
395,Єфетов Костянтин Олександрович,18,4,науки про життя - Insects & Arthropods
396,Жаботинська Світлана Анатоліївна,18,-,гуманітарні науки - Language & Linguistics
397,Жиляєв Борис Юхимович,18,4,фізика та математика - Astronomy & Astrophysics
398,Запорожець Ольга Антонівна,18,13,хімія - Analytical Chemistry
399,Зозульов Олександр Вікторович,18,-,економіка - Marketing
